Title,Year,Agency,Keywords
The Effects of State Business Taxes on Plant Closures: Evidence from Unemployment Insurance Taxation and Multi-Establishment Firms,2023,Review of Economics and Statistics,data;center;census;impact;working;firm;evidence;business;firms;economics
Essays on Firms and Networks in the Economy,2018,Stanford University,economic;discussion;data;center;census;business;impact;working;university;firms
Firm Migration and Regional Spillovers,2018,Stanford University,data;center;census;business;firms;working;rdc;firm;mimeo;university
Essay in Applied Microeconomics,2019,Stanford University,economics;economic;discussion;data;center;census;business;impact;working;university
The Indirect Effects of Hurricanes: Evidence from Firm Internal Networks,2018,Stanford University,center;census;business;firms;working;rdc;firm;mimeo;evidence;university
"Property Rights, Place-Based Policies, and Economic Development",2019,Center for Economic Studies,data;business;firms;studies;center;working;labor;census;papers;economic
Essays on Development and Labor Economics,2019,Duke University,discussion;data;center;census;business;firms;working;university;economics;labor
Does Tribal Gaming Generate Net Benefits?,2022,Critical Gambling Studies,economic;discussion;data;center;census;business;firms;working;studies;labor
Capital Investment and Labor Demand,2022,Center for Economic Studies,data;firms;economic;studies;center;working;labor;business;census;papers
Capital Investment and Labor Demand,2022,NBER,discussion;data;center;census;firms;economic;working;labor;business;papers
Impact of Strategic Energy Management Practices on Energy Efficiency: Evidence from Plant-Level Data,2021,ACEEE,economics;economic;discussion;center;census;working;evidence;business;impact;data
Fraudulent Financial Reporting and the Consequences for Employees,2019,Center for Economic Studies,business;firm;economic;studies;center;working;labor;impact;census;papers
Financial Reporting Quality and Wage Differentials: Evidence from Worker-level Data,2021,Stanford University,census;business;firm;working;mimeo;evidence;labor;university;impact;data
Financial Reporting Quality and Wage Differentials: Evidence from Worker-level Data,2023,Journal of Accounting and Economics,census;business;firm;rdc;evidence;labor;journal;impact;data;2023
Fraudulent Financial Reporting and the Consequences for Employees,2023,Unknown,discussion;data;center;census;business;firms;mimeo;labor;impact;2023
Fraudulent Financial Reporting and the Consequences for Employees,2021,Center for Economic Studies,business;firm;economic;studies;center;working;labor;impact;census;papers
The Impact of Accounting Frauds on Labor Markets,2023,Center for Economic Studies,data;business;firms;economic;studies;center;census;2023;labor;impact
"Financial Reporting Quality, Turnover Risk, and Wage Differentials: Evidence from Worker-level Data",2019,Stanford University,census;business;firm;working;mimeo;evidence;labor;university;impact;data
Two-Sided Market Power in Firm-to-Firm Trade,2021,IDB Discussion Paper,center;census;business;firms;working;paper;discussion;market;trade;firm
Concentration and Markups in International Trade,2023,Unknown,center;census;business;studies;rdc;paper;working;firm;2023;trade
Two-Sided Market Power in Firm-to-Firm Trade,2023,NBER,census;business;evidence;productivity;paper;working;2023;market;trade;firm
Two-Sided Market Power in Firm-to-Firm Trade,2023,IDB Working Paper,census;business;evidence;productivity;paper;working;2023;market;trade;firm
Does Offshoring Increase Innovation? New Evidence from U.S. Census Microdata,2024,Unknown,data;center;business;firms;working;firm;mimeo;evidence;trade;census
Essays in Empirical International Trade and Entrepreneurship,2020,Drexel University,discussion;data;center;census;business;firms;working;firm;university;trade
"Record linkage using Stata: Preprocessing, linking, and reviewing utilities",2015,Stata Journal,economics;economic;discussion;data;center;census;business;impact;journal;trade
Decomposing Aggregate Productivity,2022,Unknown,discussion;data;center;census;business;firms;working;mimeo;evidence;productivity
Eclipse of Rent-Sharing: The Effects of Managers' Business Education on Wages and the Labor Share in the US and Denmark,2022,NBER,discussion;data;center;census;firms;paper;working;labor;business;papers
The Fall of the Labor Share and the Rise of Superstar Firms,2017,NBER,discussion;data;center;census;business;paper;working;labor;trade;firms
The Fall of the Labor Share and the Rise of Superstar Firms,2020,Quarterly Journal of Economics,discussion;data;center;census;business;labor;journal;trade;economics;firms
Local and National Concentration Trends in Jobs and Sales: The Role of Structural Transformation,2023,NBER,center;census;business;firm;rdc;paper;working;trade;firms;2023
Evaluating the Great Micro Moderation,2023,Unknown,discussion;data;center;census;business;mimeo;trade;firms;2023;papers
Measuring  the  Effects  of  Firm  Uncertainty  on  Economic  Activity:  New  Evidence from One Million Documents,2020,NBER,data;center;census;business;impact;economic;paper;working;evidence;firm
Employment Decline during the Great Recession: The Role of Firm Size Distribution,2020,Unknown,economics;economic;discussion;data;center;census;business;impact;working;firm
Labor Market Concentration does not Explain the Falling Labor Share,2018,University of Michigan,data;center;census;business;firms;working;mimeo;market;firm;labor
Skewed Business Cycles,2016,Society for Economic Dynamics,discussion;data;center;census;impact;working;economic;firm;business;papers
What Drives Differences in Management Practices?,2019,American Economic Review,discussion;data;center;census;business;impact;working;economic;rdc;firm
"Turbulence, Firm Decentralization and Growth in Bad Times",2019,CEP Discussion Paper,economic;data;center;census;business;impact;working;paper;discussion;firm
"Turbulence, Firm Decentralization and Growth in Bad Times",2021,American Economic Journal: Applied Economics,discussion;data;center;census;business;impact;economic;journal;economics;firm
Trade and Management,2021,Review of Economics and Statistics,discussion;data;center;census;business;impact;working;firm;trade;economics
"Turbulence, Firm Decentralization and Growth in Bad Times",2016,Stanford University,data;center;census;business;firms;working;rdc;mimeo;university;firm
"Management, Mergers, and Acquisitions",2022,Unknown,economic;discussion;data;center;census;business;impact;working;firm;mimeo
Skewed Business Cycles,2019,Society for Economic Dynamics,discussion;data;center;census;impact;working;economic;firm;business;papers
The large firm pay premium redux,2018,Unknown,economic;discussion;data;center;census;business;impact;working;mimeo;firm
"Turbulence, Firm Decentralization and Growth in Bad Times",2017,NBER,discussion;data;center;census;business;firms;rdc;paper;working;firm
Skewed Business Cycles,2019,NBER,economic;discussion;data;center;census;impact;paper;working;firm;business
What Would It Take to Desegregate U.S. Metropolitan Areas? Pathways to Residential Desegregation,2022,Demography,evidence;economics;economic;discussion;data;center;census;business;impact;working
"Residential Mobility and Hispanic Segregation: Spatial Assimilation and the Concentration of Poverty, 1960-2014",2021,Cityscape: A Journal of Policy Development and Research,evidence;economics;economic;discussion;data;center;census;business;impact;journal
Racial Residential Segregation in an Era of Increasing Income Inequality and Poverty Concentration,2020,Unknown,economics;economic;discussion;data;center;census;business;impact;working;mimeo
Civil Service Reforms: Evidence from U.S. Police Departments,2019,MIT,economic;discussion;data;center;census;business;impact;working;mimeo;evidence
Planning Parenthood: The Affordable Care Act Young Adult Provision and Pathways to Fertility,2018,Journal of Population Economics,economic;discussion;data;center;census;business;impact;rdc;journal;economics
Considering the Use of Stock and Flow Outcomes in Empirical Analyses: An Examination of Marriage Data,2017,Center for Economic Studies,business;firms;working;economic;rdc;paper;studies;center;discussion;data
Planning Parenthood: The Affordable Care Act Young Adult Provision and Pathways to Fertility,2017,Center for Economic Studies,census;business;firms;working;economic;rdc;paper;studies;center;discussion
The Transformation of Self Employment,2022,Harvard Business School,economic;discussion;data;center;census;impact;paper;working;evidence;business
Immigration Policy Levers for US Innovation and Startups,2021,University of Chicago Press,economic;discussion;data;center;census;impact;working;evidence;university;business
Immigrant Entrepreneurs: New Estimates and a Research Agenda,2023,In Lissoni and Morrison (Eds.) Migration and Innovation: A Research Agenda. Edward Elgar Publishing (forthcoming).,economics;economic;discussion;data;center;census;impact;evidence;2023;business
Demographic Origins of the Startup Deficit,2019,NBER,economic;discussion;data;center;census;impact;paper;working;evidence;business
The Transformation of Self Employment,2022,NBER,economic;discussion;data;center;census;impact;paper;working;evidence;business
Demographic Origins of the Startup Deficit,2018,University of Notre Dame,data;center;census;firms;working;rdc;mimeo;evidence;university;business
The Nature of Firm Growth,2018,Center for Economic Studies,working;economic;rdc;paper;studies;center;firm;discussion;evidence;business
"Comparison of Estimates: Survey of Business Owners, Annual Survey of Entrepreneurs, and Annual Business Survey",2023,Center for Economic Studies,discussion;data;impact;economic;studies;center;evidence;census;2023;business
Whose Job is it Anyway? Coethnic Hiring in New US Ventures,2021,Journal of Human Capital,economics;economic;discussion;data;center;census;impact;evidence;journal;business
The Transformation of Self Employment,2022,Center for Economic Studies,data;firms;economic;studies;center;working;evidence;census;papers;business
The Nature of Firm Growth,2021,American Economic Review,discussion;data;center;census;impact;working;economic;firm;evidence;business
Has Local Competitiveness Declined?,2022,University of Notre Dame,economic;discussion;data;center;census;impact;working;evidence;university;business
Demographic Origins of the Startup Deficit,2019,Center for Economic Studies,census;firms;working;economic;paper;studies;center;discussion;evidence;business
Immigration Policy Levers for US Innovation and Startups,2020,NBER,economic;discussion;data;center;census;impact;paper;working;evidence;business
The Impact of Insurance Expansions on the Already Insured: The Affordable Care Act and Medicare,2018,NBER,economics;economic;discussion;data;center;census;business;paper;working;impact
The Long-Term Effects of Early Life Medicaid Coverage,2019,Journal of Human Resources,evidence;economics;economic;discussion;data;center;census;business;impact;journal
Medicaid and Mortality: New Evidence from Linked Survey and Administrative Data,2021,Quarterly Journal of Economics,economic;discussion;center;census;business;impact;evidence;journal;economics;data
Medicaid and Mortality: New Evidence from Linked Survey and Administrative Data,2021,NBER,economic;discussion;center;census;business;impact;paper;working;evidence;data
The Impact of Insurance Expansions on the Already Insured: The Affordable Care Act and Medicare,2020,American Economic Journal: Applied Economics,evidence;discussion;data;center;census;business;economic;journal;impact;economics
How Does Access to College Affect Long-Term Life Outcomes? Evidence from U.S. Openings of Two-Year Public Colleges,2021,Harvard University,discussion;data;center;census;business;firms;paper;working;evidence;university
"Estimated Mortality Increases During the COVID-19 Pandemic by Socioeconomic Status, Race, and Ethnicity",2021,Health Affairs,evidence;economics;economic;discussion;data;center;census;business;impact;working
"Income Segregation: Up or Down, and for Whom?",2020,Demography,evidence;economics;economic;discussion;center;census;business;impact;working;data
Models for Small Area Estimation for Census Tracts,2020,Geographical Analysis,evidence;economics;economic;discussion;center;business;impact;working;census;data
Corrected measures of metropolitan income segregation for 1980-2010,2021,"Diversity and Disparities Project, Brown University",evidence;economics;economic;discussion;center;census;business;impact;working;data
Metropolitan Segregation: No Breakthrough in Sight,2022,Center for Economic Studies,discussion;business;firms;economic;studies;center;working;census;papers;data
The Uptick in Income Segregation: Real Trend or Random Sampling Variation?,2018,American Journal of Sociology,evidence;economics;economic;discussion;center;census;business;impact;journal;data
Time to Move Forward: Reply to Bischoff Et Al.,2022,American Journal of Sociology,evidence;economics;economic;discussion;center;census;business;impact;journal;data
The Persistence of Segregation in the Metropolis: New Findings from the 2020 Census,2021,"Diversity and Disparities Project, Brown University",economics;economic;discussion;center;business;impact;working;university;census;data
Comparing the Effectiveness of Assignment Strategies for Estimating Likely Undocumented Status in Secondary Data Sources for Latino and Asian Immigrants,2021,Population Research and Policy Review,evidence;economics;economic;discussion;center;census;business;impact;working;data
Comparing immigration status and health patterns between Latinos and Asians: Evidence from the Survey of Income and Program Participation,2021,PL0s ONE,economics;economic;discussion;center;census;business;impact;evidence;journal;data
The Spillover Effects of Top Income Inequality,2023,CEPR,economics;economic;data;center;census;business;impact;paper;discussion;2023
The Spillover Effects of Top Income Inequality,2023,Center for Economic Studies,data;center;trade;business;firm;studies;paper;working;census;2023
The Spillover Effects of Top Income Inequality,2023,Becker-Friedman Institute,discussion;data;center;census;business;firms;trade;paper;working;2023
The Spillover Effects of Top Income Inequality,2023,NBER,discussion;data;center;census;business;firms;trade;paper;working;2023
"The Effects of Organizational, Community, and State Regulatory Characteristics on Texas Oil and Gas Extraction Facility Venting and Flaring Practices",2019,Texas A&M University,evidence;economics;economic;discussion;data;center;census;business;impact;working
Wasting Natural Resources: A Quantitative Analysis of Texas Oil and Gas Venting and Flaring Practices,2020,Energy Research & Social Science,evidence;economics;economic;discussion;data;center;census;business;impact;working
"The Impact of Trade Adjustment Assistance (TAA) Benefits on Workers, and Assessing LEHD Successor-Predecessor Linkages with Researcher-Provided Data on Mass Layoffs",2022,Center for Economic Studies,business;firms;working;economic;studies;center;census;impact;trade;data
Can Displaced Labor Be Retrained? Evidence from Quasi-Random Assignment to Trade Adjustment Assistance,2022,Center for Economic Studies,studies;center;working;evidence;labor;impact;census;papers;data;trade
Essays in Public Economics and International Trade,2018,University of Pennsylvania,center;census;business;firms;working;university;impact;economics;data;trade
Wage Insurance for Displaced Workers,2023,Unknown,discussion;center;census;business;firms;mimeo;impact;trade;data;2023
Can Displaced Labor Be Retrained? Evidence from Quasi-Random Assignment to Trade Adjustment Assistance,2018,University of Pennsylvania,business;working;rdc;mimeo;evidence;labor;university;impact;data;trade
What Do Establishments Do When Wages Increase? Evidence from Minimum Wages in the United States,2019,Center for Economic Studies,data;business;firms;economic;studies;center;working;evidence;census;papers
Three Essays in Labor Economics,2020,University of Illinois at Urbana-Champaign,discussion;data;center;census;business;firms;working;labor;university;economics
"Climate Change, The Food Problem, and the Challenge of Adaptation through Sectoral Reallocation",2020,NBER,discussion;data;center;census;business;firms;paper;working;productivity;trade
Is Affirmative Action in Employment Still Effective in the 21st Century?,2022,Cambridge Working Papers in Economics,discussion;data;center;census;business;firms;working;university;papers;economics
Essays on the Effects of Labor Market Policies,2022,Yale University,discussion;data;center;census;business;firms;working;labor;market;university
The Effect of Affirmative Action on Workers' Outcomes,2021,Cambridge Working Papers in Economics,economic;discussion;data;center;census;business;impact;working;papers;economics
Is Affirmative Action in Employment Still Effective in the 21st Century?,2022,Center for Economic Studies,discussion;data;business;firms;economic;studies;center;working;census;papers
How Local Are U.S. Labor Markets?: Using an Assignment Model to Forecast the Geographic and Skill Incidence of Local Labor Demand Shocks,2023,Unknown,economic;discussion;center;census;business;firms;mimeo;data;2023;labor
How Local Are U.S. Labor Markets?: Using an Assignment Model to Forecast the Geographic and Skill Incidence of Local Labor Demand Shocks,2021,Unknown,economic;discussion;center;census;business;firms;working;mimeo;data;labor
The effect of natural disasters on migration and demographic change at the neighborhood level: U.S. hurricanes 2005-2019,2023,Unknown,economic;discussion;data;center;census;business;firms;mimeo;labor;2023
Shift or Replenishment? Reassessing the prospect of stable Spanish bilingualism across contexts of ethnic change,2023,Unknown,economic;discussion;data;center;census;business;firms;mimeo;labor;2023
Outsourcing Dynamism,2023,Center for Economic Studies,business;firm;rdc;economic;studies;center;working;census;papers;2023
Revisiting the origins of business cycles with the size-variance relationship ,2021,Unknown,economics;economic;discussion;data;center;census;impact;working;mimeo;business
Monopsony in the U.S. Labor Market,2021,Unknown,discussion;data;center;census;business;firms;working;mimeo;labor;market
Job Dynamics with Staffed Labor,2024,Unknown,productivity;economic;studies;center;working;mimeo;labor;census;papers;2023
Understanding and improving the firm-level revenue measures from the Business Register (BR) files,2023,Center for Economic Studies,discussion;data;impact;economic;studies;center;firm;business;census;2023
"Contracting out labor market dynamism: domestic outsourcing, firms’ recruiting behavior, and development",2023,University of Illinois at Urbana-Champaign,economic;discussion;data;center;census;business;labor;firms;2023;market
Revisiting the origins of business cycles with the size-variance relationship ,2023,Review of Economics and Statistics,evidence;economic;discussion;data;center;census;impact;business;economics;2023
Monopsony in the U.S. Labor Market,2022,American Economic Review,discussion;data;center;census;business;firms;working;economic;labor;market
Firm Creation and Local Growth,2019,SSRN,discussion;data;center;census;business;impact;working;economic;mimeo;firm
Skilled Scalable Services: The New Urban Bias in Economic Growth,2020,Minneapolis Federal Reserve Bank,discussion;data;center;census;business;impact;paper;working;firm;economic
Population Growth and Firm Dynamics,2021,Unknown,discussion;data;center;census;business;impact;working;economic;mimeo;firm
Skilled Scalable Services: The New Urban Bias in Economic Growth,2020,CESifo,discussion;data;center;census;business;impact;paper;working;firm;economic
"Demand, Growth, and Deleveraging",2020,Unknown,economics;discussion;data;center;census;business;impact;working;economic;firm
Pandemic Recession: L- or V-Shaped?,2020,Federal Reserve Bank of Minneapolis Quarterly Review,evidence;economics;economic;discussion;data;center;census;business;impact;working
The Alpha Beta Gamma of the Labor Market,2022,Center for Economic Studies,business;firm;economic;studies;center;working;labor;census;papers;market
The Alpha Beta Gamma of the Labor Market,2021,NBER,data;center;census;business;firms;economic;paper;working;labor;market
Employer Growth and Worker Reallocation,2022,Unknown,economics;economic;discussion;data;center;census;business;impact;working;mimeo
"Earnings Growth, Job Flows and Churn",2020,Center for Economic Studies,discussion;data;business;firms;economic;studies;center;working;census;papers
"Earnings Growth, Job Flows and Churn",2020,Stony Brook University,discussion;data;center;census;business;firms;working;university;papers;economics
Household Wealth and Entrepreneurial Career Choices: Evidence from Climate Disasters,2024,Center for Economic Studies,data;census;business;firms;economic;paper;studies;center;working;evidence
Corporate Social Responsibility and Employee Retention,2023,Unknown,economic;discussion;data;center;census;business;impact;mimeo;evidence;2023
Household Wealth and Entrepreneurial Career Choices - Evidence from Climate Disasters,2021,Unknown,economic;discussion;data;center;census;business;impact;working;mimeo;evidence
How Do Firms Withstand A Global Economic Shock: Evidence From Within-Firm Responses,2023,Unknown,center;census;business;impact;working;economic;firm;mimeo;firms;evidence
How Do U.S. Firms Withstand Foreign Industrial Policies?,2024,NBER,data;center;census;business;impact;economic;working;evidence;firms;papers
Environmental Disasters and Entrepreneurial Career Choices,2020,Unknown,economic;discussion;data;center;census;business;impact;working;mimeo;evidence
The Rural/Urban Volunteer Divide: Investigating Religious and Secular Volunteering,2019,Unknown,economics;economic;discussion;data;center;census;business;impact;working;mimeo
Organizational Infrastructure and Individual Volunteering,2023,Unknown,economics;economic;discussion;data;center;census;business;impact;mimeo;2023
Recruiting the Most Committed Volunteers: How Rurality Shapes the Relationship between Pathways into Volunteering and Volunteer Intensity,2021,Unknown,economics;economic;discussion;data;center;census;business;impact;working;mimeo
The Rural Urban Volunteering Divide,2022,Voluntas,evidence;economics;economic;discussion;data;center;census;business;impact;journal
The Decline of Volunteering in the United States: Is it the Economy?,2023,Unknown,economics;economic;discussion;data;center;census;business;impact;mimeo;2023
The Rural/Urban Volunteer Divide: The Implications for Policy and Management,2019,Unknown,economics;economic;discussion;data;center;census;business;impact;working;mimeo
Getting Things Done in Rural America: Examining Trends in Rural Philanthropy,2020,Unknown,economics;economic;discussion;data;center;census;business;impact;working;mimeo
How Community Age Structure Shapes Individual and Age Cohort-Based Volunteer Behavior,2023,Unknown,economics;economic;discussion;data;center;census;business;impact;mimeo;2023
The Enduring Impact of Economic Context on Volunteering in U.S. Communities,2023,Unknown,economics;discussion;data;center;census;business;economic;mimeo;impact;2023
"""Where have all the volunteers gone?” Is it the economy?",2022,Unknown,economics;economic;discussion;data;center;census;business;impact;working;mimeo
Examining the Determinants of Rural/Urban Volunteering,2019,Unknown,economics;economic;discussion;data;center;census;business;impact;working;mimeo
The Rural Urban Volunteering Divide,2020,Unknown,economics;economic;discussion;data;center;census;business;impact;working;mimeo
The Moderating Effect of Rurality on the Incidence and Intensity of Volunteering,2019,Unknown,economics;economic;discussion;data;center;census;business;impact;working;mimeo
Food and Agricultural Industry Locational Outcomes Research: Aggregation Bias and Size Measurement,2022,Unknown,economics;economic;discussion;data;center;census;business;impact;working;mimeo
Improving Models of Wood Products Plant Locations with Restricted Access Data,2023,Unknown,economics;economic;discussion;center;census;business;impact;mimeo;data;2023
Decomposing Local Bank Impacts with Demand Thresholds,2023,The Annals of Regional Science,evidence;economics;economic;discussion;data;center;census;business;impact;2023
Using Federal Administrative Data to Model Wood Products Manufacturer Locational Determinants,2022,Unknown,economics;economic;discussion;center;census;business;impact;working;mimeo;data
Empirical Methods in Business Location Research,2021,"Regional Studies, Regional Science",economics;economic;discussion;data;center;census;impact;working;studies;business
Measurement Error in U.S. Regional Economic Data,2021,Unknown,economics;discussion;center;census;business;impact;working;economic;mimeo;data
Revealing U.S. Retail Industries’ Functional Hierarchy Through Demand Thresholds,2022,Unknown,economics;economic;discussion;data;center;census;business;impact;working;mimeo
Modeling Location Decisions of Food and Agricultural Industry Establishments with Microdata,2019,Unknown,economics;economic;discussion;data;center;census;business;impact;working;mimeo
Food and Agricultural Industry Locational Determinants Research: Aggregation Bias and Size Measurement in the Agricultural Support Industry,2022,Agricultural and Resource Economics Review,evidence;economic;discussion;data;center;census;business;impact;working;economics
Estimating determinants of healthcare establishment locations with restricted federal administrative data,2021,Health Economics,evidence;economic;discussion;center;census;business;impact;working;economics;data
Estimating Determinants of Establishment Locations of Transportation and Warehousing Industries Using U.S. Administrative Data,2022,REGION,evidence;economics;economic;discussion;center;census;business;impact;working;data
Estimating Determinants of Establishment Locations of Transportation and Warehousing Industries Using U.S. Administrative Data,2021,Unknown,economics;economic;discussion;center;census;business;impact;working;mimeo;data
Measurement Error in U.S. Regional Economic Data,2022,Journal of Regional Science,evidence;economics;discussion;center;census;business;impact;economic;journal;data
A Note on the Locational Determinants of the Agricultural Supply Chain,2021,Center for Economic Studies,data;business;firms;economic;paper;studies;center;working;papers;census
Profit Pools and Determinants of Potential County-Level Manufacturing Growth,2022,International Regional Science Review,economics;economic;discussion;data;center;census;business;impact;working;manufacturing
Does Goliath Help David? Anchor Firms and Startup Clusters,2020,Center for Economic Studies,data;census;business;economic;paper;studies;center;working;firm;firms
Essays on Entrepreneurship and Local Labor Market,2020,Duke University,discussion;data;center;census;business;firms;working;firm;labor;university
Does Goliath Help David? Anchoring Firm Creation,2022,Unknown,economic;discussion;data;center;business;impact;census;paper;working;firm
The Skill and Spatial Incidence of Changing Patterns of U.S. International Trade among American Workers: Exploring New Pathways Using an Equilibrium Matching Approach,2023,Unknown,census;business;evidence;mimeo;labor;impact;firms;2023;market;trade
What Drives the Labor Market Incidence of Trade Shocks?: An Equilibrium Matching Analysis of China's WTO Accession,2023,Unknown,census;business;evidence;mimeo;impact;firms;2023;labor;market;trade
"Exploring the Hiring, Pay, and Trading Patterns of U.S. Multinational Firms",2023,Unknown,census;business;evidence;mimeo;labor;impact;trade;2023;market;firms
The Long-run Impacts of Court-Ordered Desegregation,2022,NBER,economics;economic;discussion;data;center;census;business;impact;paper;working
The Long-run Impacts of Court-Ordered Desegregation,2022,Center for Economic Studies,discussion;data;business;firms;economic;studies;center;working;census;papers
Access to Financing and Within Firm Racial Pay Gap,2022,Unknown,discussion;data;center;census;business;working;firm;mimeo;impact;firms
Temperature and Local Industry Concentration,2023,NBER,census;business;firm;rdc;economic;paper;working;impact;firms;2023
Validating Abstract Representations of Spatial Population Data while considering Disclosure Avoidance,2020,Center for Economic Studies,discussion;business;firms;economic;studies;center;working;census;papers;data
Populated Polygons to Networks: A Population-Centric Approach to Spatial Network Allocation,2019,Florida State University,economics;economic;discussion;data;center;census;business;impact;working;university
Intellectual Property Revisited,2021,Unknown,economics;economic;discussion;data;center;census;business;impact;working;mimeo
Innovation and Appropriability: Revisiting the Role of Intellectual Property,2022,Center for Economic Studies,economics;economic;discussion;data;center;census;business;impact;paper;working
Innovation and Appropriability: Revisiting the Role of Intellectual Property,2023,NBER,discussion;data;center;census;business;firms;trade;paper;working;2023
Research and/or Development? Financial Frictions and Innovation Investment,2023,NBER,discussion;data;center;census;business;firms;trade;paper;working;2023
Research and/or Development? Financial Frictions and Innovation Investment,2023,Center for Economic Studies,business;firm;rdc;economic;studies;center;working;census;papers;2023
Labor Market Dynamics and Worker Experiences - The Geography of Worker Adaptation to Unanticipated Job Losses,2022,Unknown,discussion;data;center;census;business;firms;working;mimeo;labor;market
"The Impact of Job Opportunities, Housing Costs, and Mobility Decisions on the Re-employment Experiences of Displaced Workers",2023,Unknown,economics;economic;discussion;data;center;census;business;mimeo;impact;2023
Hispanic Families in Assisted Housing,2021,Cityscape,evidence;economics;economic;discussion;data;center;census;business;impact;working
U.S. Market Concentration and Import Competition,2023,Review of Economic Studies,data;center;census;business;firms;economic;studies;trade;2023;market
Input Sourcing under Risk: Evidence from U.S. Firms,2021,Unknown,discussion;data;center;census;business;working;mimeo;evidence;trade;firms
Has Market Power of U.S. Firms Increased?,2021,Liberty Street Economics,discussion;data;center;census;business;working;trade;economics;firms;market
US Firms' Market Power has Declined due to Import Competition,2021,VoxEU Blog,economic;discussion;data;center;census;business;working;trade;firms;market
U.S. Market Concentration and Import Competition,2021,CEPR,data;center;census;business;firms;working;trade;market;discussion;papers
U.S. Market Concentration and Import Competition,2022,Center for Economic Studies,business;firm;economic;studies;center;working;trade;census;papers;market
U.S. Market Concentration and Import Competition,2021,"Staff Reports, Federal Reserve Bank of New York",economic;discussion;data;center;census;business;firms;working;trade;market
What’s in the Water? Long-Run Effects of Fluoridation on Health and Economic Self-Sufficiency,2021,Unknown,data;center;census;business;firms;working;economic;mimeo;labor;market
Essays on the Determinants of Health and Labor Market Outcomes,2022,`Texas A&M University,discussion;data;center;census;business;firms;working;university;labor;market
"Mergers and Acquisitions, Local Labor Market Concentration and Worker Outcomes",2024,Unknown,data;center;census;business;firms;working;firm;mimeo;labor;market
"Productivity, Place, and Plants",2022,NBER,economic;discussion;data;center;census;business;firms;paper;working;productivity
"Productivity, Place, and Plants: Revisiting the Measurement",2021,CESifo,economic;discussion;data;center;census;business;firms;paper;working;productivity
"Productivity, Place, and Plants",2022,Review of Economics and Statistics,economic;discussion;data;center;census;business;impact;working;productivity;economics
The Internal Geography of Firms,2022,Unknown,economic;discussion;data;center;census;business;impact;working;mimeo;firms
JUE insight: Firms and industry agglomeration,2021,Journal of Urban Economics,economic;discussion;data;center;census;business;impact;journal;firms;economics
Propagation and Amplification of Local Productivity Spillovers,2021,CEPR,economic;discussion;data;center;census;business;paper;working;productivity;firms
Propagation and Amplification of Local Productivity Spillovers,2022,Center for Economic Studies,data;business;economic;studies;center;working;productivity;firms;census;papers
Propagation and Amplification of Local Productivity Spillovers,2023,Unknown,economic;discussion;data;center;census;business;mimeo;productivity;firms;2023
Propagation and Amplification of Local Productivity Spillovers,2021,NBER,economic;discussion;data;center;census;business;paper;working;productivity;firms
Innovation Spillovers across U.S. Tech Clusters,2024,NBER,discussion;data;center;census;business;impact;economic;working;firms;papers
Colocation of Production and Innovation:Evidence from the United States,2020,Unknown,economic;discussion;data;center;census;business;impact;working;mimeo;evidence
Production and Learning in Teams,2018,NBER,discussion;data;center;census;business;firms;rdc;paper;working;impact
Labor Market Power,2021,NBER,data;center;census;business;firm;paper;working;labor;impact;market
Intergenerational Mobility and Credit,2024,NBER,economics;discussion;data;center;census;business;economic;working;impact;papers
Labor Market Power,2022,American Economic Review,data;center;census;business;firms;working;economic;labor;impact;market
Labor Market Segmentation and the Distribution of Income: New Evidence from Internal Census Bureau Data,2023,Center for Economic Studies,business;mimeo;paper;working;evidence;census;data;2023;labor;market
Labor Market Segmentation and the Distribution of Income: New Evidence from Internal Census Bureau Data,2022,he Great Polarization edited by Rüdiger L von Arnim and Joseph E Stiglitz. New York: Columbia University Press,center;business;firms;working;evidence;university;census;data;labor;market
Labor Market Segmentation and the Distribution of Income: New Evidence from Internal Census Bureau Data,2019,University of Utah Department of Economics Working Paper Series,firm;paper;working;evidence;university;census;economics;data;labor;market
Mixing it Up,2020, The European Physical Journal Special Topics,economic;discussion;data;center;census;business;firms;labor;journal;market
Comparing Mean Earnings and Earnings Percentiles for Local Labor Markets using the LEHD,2022,Center for Economic Studies Technical Notes Series,discussion;data;business;firms;working;economic;studies;center;census;labor
Minority- and immigrant-owned small businesses and employer-sponsored health insurance,2022,University of Colorado at Denver,evidence;economics;economic;discussion;data;center;census;business;impact;working
Regional employment and earnings impacts of wind development: Evidence from nearly everyone in 23 states,2022,Unknown,discussion;center;census;business;impact;working;economic;mimeo;data;evidence
Three Essays on Clean Energy Technologies and Implications for U.S. Policy,2022,Colorado School of Mines,economics;discussion;center;census;business;impact;working;economic;evidence;data
Distributional Equity in the Employment and Wage Impacts of Energy Transitions,2023,NBER,business;rdc;productivity;paper;working;evidence;papers;data;2023;economic
Regional employment and earnings impacts of wind development: Evidence from nearly everyone in 23 states,2023,Unknown,discussion;center;census;business;impact;economic;mimeo;data;2023;evidence
Essays in Housing Markets and the Real Economy,2020,UC Berkeley,economics;economic;discussion;data;center;census;business;impact;working;firm
The Long-Run Effects of Mortgage Credit Access on Entrepreneurship,2019,UC Berkeley - Haas School of Business,economic;discussion;data;center;census;impact;working;firm;mimeo;business
Can Strong Creditors  Inhibit Entrepreneurial Activity?,2021,Review of Financial Studies,economics;economic;discussion;data;center;census;business;impact;working;studies
